City,Type,Area_sqft,BHK,Predicted_Price_Cr,Recommendation
Mumbai,Apartment,1000,2,2.55,Premium Property
Mumbai,Apartment,1000,3,2.58,Premium Property
Mumbai,Apartment,1500,2,2.56,Premium Property
Mumbai,Apartment,1500,3,2.59,Premium Property
Mumbai,Apartment,2000,2,2.57,Premium Property
Mumbai,Apartment,2000,3,2.6,Premium Property
Mumbai,Villa,1000,0,2.59,Premium Property
Mumbai,Villa,1000,0,2.59,Premium Property
Mumbai,Villa,1500,0,2.6,Premium Property
Mumbai,Villa,1500,0,2.6,Premium Property
Mumbai,Villa,2000,0,2.61,Premium Property
Mumbai,Villa,2000,0,2.61,Premium Property
Bangalore,Apartment,1000,2,1.69,Good Investment
Bangalore,Apartment,1000,3,1.72,Good Investment
Bangalore,Apartment,1500,2,1.7,Good Investment
Bangalore,Apartment,1500,3,1.73,Good Investment
Bangalore,Apartment,2000,2,1.71,Good Investment
Bangalore,Apartment,2000,3,1.74,Good Investment
Bangalore,Villa,1000,0,1.73,Good Investment
Bangalore,Villa,1000,0,1.73,Good Investment
Bangalore,Villa,1500,0,1.74,Good Investment
Bangalore,Villa,1500,0,1.74,Good Investment
Bangalore,Villa,2000,0,1.75,Good Investment
Bangalore,Villa,2000,0,1.75,Good Investment
Delhi,Apartment,1000,2,2.04,Premium Property
Delhi,Apartment,1000,3,2.07,Premium Property
Delhi,Apartment,1500,2,2.04,Premium Property
Delhi,Apartment,1500,3,2.08,Premium Property
Delhi,Apartment,2000,2,2.05,Premium Property
Delhi,Apartment,2000,3,2.08,Premium Property
Delhi,Villa,1000,0,2.08,Premium Property
Delhi,Villa,1000,0,2.08,Premium Property
Delhi,Villa,1500,0,2.08,Premium Property
Delhi,Villa,1500,0,2.08,Premium Property
Delhi,Villa,2000,0,2.09,Premium Property
Delhi,Villa,2000,0,2.09,Premium Property
