PropertyID,Title,City,Locality,Type,Price_Cr,Area_sqft,BHK,Price_per_sqft,Furnishing,TransactionType,ListedDate,Available
PROP_0001,Commercial BHK Plot in Gachibowli,Hyderabad,Gachibowli,Plot,2.36,2334,0,10111,Unfurnished,Resale,2024-12-12,True
PROP_0002,1 BHK Apartment in Gachibowli,Hyderabad,Gachibowli,Apartment,2.87,1909,1,15034,Semi Furnished,New Booking,2025-09-07,True
PROP_0003,Commercial BHK Plot in Rajarhat,Kolkata,Rajarhat,Plot,1.61,2516,0,6399,Unfurnished,Resale,2024-12-23,True
PROP_0004,Commercial BHK Commercial in Anna Nagar,Chennai,Anna Nagar,Commercial,2.38,2865,0,8307,Fully Furnished,Resale,2025-02-21,True
PROP_0005,Commercial BHK Commercial in Connaught Place,Delhi,Connaught Place,Commercial,3.63,2999,0,12104,Semi Furnished,New Booking,2025-07-15,True
PROP_0006,3 BHK Apartment in Velachery,Chennai,Velachery,Apartment,1.39,1954,3,7114,Semi Furnished,Resale,2025-01-31,True
PROP_0007,Commercial BHK Commercial in Banjara Hills,Hyderabad,Banjara Hills,Commercial,2.55,1472,0,17323,Fully Furnished,New Booking,2025-05-25,True
PROP_0008,Commercial BHK Commercial in HSR Layout,Bangalore,HSR Layout,Commercial,1.4,1015,0,13793,Fully Furnished,Resale,2025-06-29,True
PROP_0009,Commercial BHK Villa in Kothrud,Pune,Kothrud,Villa,1.85,3325,0,5564,Unfurnished,New Booking,2025-01-08,True
PROP_0010,4 BHK Apartment in OMR,Chennai,OMR,Apartment,2.55,1367,4,18654,Semi Furnished,New Booking,2024-11-19,True
PROP_0011,Commercial BHK Villa in Hitech City,Hyderabad,Hitech City,Villa,2.05,3493,0,5869,Semi Furnished,Resale,2025-07-07,True
PROP_0012,3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,Apartment,0.86,1977,3,4350,Semi Furnished,New Booking,2025-10-02,True
PROP_0013,1 BHK Apartment in Dwarka,Delhi,Dwarka,Apartment,4.0,1736,1,23041,Semi Furnished,Resale,2025-10-30,True
