PropertyID,Title,City,Locality,Type,Price_Cr,Area_sqft,BHK,Price_per_sqft,Furnishing,TransactionType,ListedDate,Available
PROP_001,2 BHK Apartment in Baner,Pune,Baner,Apartment,0.65,1869,2,3477.8,Semi Furnished,Resale,2025-02-15,True
PROP_002,Commercial BHK Commercial in Koramangala,Bangalore,Koramangala,Commercial,1.2,2526,0,4750.59,Unfurnished,Resale,2025-08-14,True
PROP_003,Commercial BHK Commercial in Adyar,Chennai,Adyar,Commercial,1.06,1904,0,5567.23,Unfurnished,Resale,2025-10-05,True
PROP_004,Commercial BHK Villa in Madhapur,Hyderabad,Madhapur,Villa,1.25,1358,0,9204.71,Semi Furnished,Resale,2025-07-18,True
PROP_005,Commercial BHK Commercial in Powai,Mumbai,Powai,Commercial,2.33,891,0,26150.39,Semi Furnished,New Booking,2025-10-26,True
PROP_006,Commercial BHK Plot in New Town,Kolkata,New Town,Plot,1.12,1068,0,10486.89,Unfurnished,Resale,2025-05-05,True
PROP_007,Commercial BHK Commercial in Powai,Mumbai,Powai,Commercial,2.27,2640,0,8598.48,Fully Furnished,New Booking,2025-07-15,True
PROP_008,Commercial BHK Plot in Park Street,Kolkata,Park Street,Plot,1.18,1741,0,6777.71,Fully Furnished,New Booking,2025-02-05,True
PROP_009,Commercial BHK Plot in Whitefield,Bangalore,Whitefield,Plot,2.38,2954,0,8056.87,Semi Furnished,New Booking,2025-06-29,True
PROP_010,Commercial BHK Commercial in OMR,Chennai,OMR,Commercial,0.95,1245,0,7630.52,Fully Furnished,Resale,2025-08-31,True
PROP_011,Commercial BHK Commercial in Salt Lake,Kolkata,Salt Lake,Commercial,0.74,1512,0,4894.18,Semi Furnished,New Booking,2025-10-17,True
PROP_012,Commercial BHK Commercial in Hitech City,Hyderabad,Hitech City,Commercial,0.97,2428,0,3995.06,Fully Furnished,New Booking,2025-05-06,True
PROP_013,Commercial BHK Plot in HSR Layout,Bangalore,HSR Layout,Plot,2.28,1663,0,13710.16,Unfurnished,Resale,2025-08-08,True
PROP_014,Commercial BHK Villa in Rohini,Delhi,Rohini,Villa,2.51,1351,0,18578.83,Fully Furnished,Resale,2024-12-07,True
PROP_015,Commercial BHK Plot in OMR,Chennai,OMR,Plot,0.94,1357,0,6927.04,Fully Furnished,New Booking,2025-09-08,True
PROP_016,Commercial BHK Plot in HSR Layout,Bangalore,HSR Layout,Plot,1.37,2674,0,5123.41,Fully Furnished,New Booking,2025-09-14,True
PROP_017,2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,Apartment,1.17,1739,2,6728.0,Unfurnished,New Booking,2025-03-13,True
PROP_018,Commercial BHK Villa in Park Street,Kolkata,Park Street,Villa,0.81,1420,0,5704.23,Semi Furnished,Resale,2024-11-29,True
PROP_019,2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,Apartment,0.85,2124,2,4001.88,Fully Furnished,New Booking,2024-12-09,True
PROP_020,4 BHK Apartment in Gachibowli,Hyderabad,Gachibowli,Apartment,1.42,2488,4,5707.4,Unfurnished,New Booking,2025-10-18,True
PROP_021,Commercial BHK Plot in Saket,Delhi,Saket,Plot,1.29,2788,0,4626.97,Semi Furnished,New Booking,2025-09-08,True
PROP_022,Commercial BHK Plot in HSR Layout,Bangalore,HSR Layout,Plot,1.63,2347,0,6945.04,Semi Furnished,New Booking,2025-07-01,True
PROP_023,Commercial BHK Commercial in Powai,Mumbai,Powai,Commercial,1.92,2417,0,7943.73,Unfurnished,New Booking,2024-12-31,True
PROP_024,Commercial BHK Plot in Madhapur,Hyderabad,Madhapur,Plot,1.53,2235,0,6845.64,Semi Furnished,Resale,2025-03-30,True
PROP_025,Commercial BHK Commercial in New Town,Kolkata,New Town,Commercial,0.57,912,0,6250.0,Semi Furnished,Resale,2025-08-31,True
PROP_026,4 BHK Apartment in Bandra,Mumbai,Bandra,Apartment,2.2,2128,4,10338.35,Semi Furnished,New Booking,2024-11-17,True
PROP_027,Commercial BHK Villa in Park Street,Kolkata,Park Street,Villa,0.51,1210,0,4214.88,Fully Furnished,New Booking,2025-02-08,True
PROP_028,Commercial BHK Plot in Andheri,Mumbai,Andheri,Plot,4.34,2581,0,16815.19,Unfurnished,Resale,2025-09-27,False
PROP_029,4 BHK Apartment in Vasant Kunj,Delhi,Vasant Kunj,Apartment,1.85,1321,4,14004.54,Unfurnished,New Booking,2025-07-09,True
PROP_030,Commercial BHK Villa in Howrah,Kolkata,Howrah,Villa,1.03,2467,0,4175.11,Semi Furnished,New Booking,2025-02-02,True
PROP_031,1 BHK Apartment in Anna Nagar,Chennai,Anna Nagar,Apartment,0.85,2697,1,3151.65,Fully Furnished,Resale,2025-06-07,True
PROP_032,Commercial BHK Commercial in Howrah,Kolkata,Howrah,Commercial,1.17,2660,0,4398.5,Unfurnished,New Booking,2025-05-13,True
PROP_033,Commercial BHK Commercial in Banjara Hills,Hyderabad,Banjara Hills,Commercial,0.98,2774,0,3532.8,Unfurnished,Resale,2025-10-01,True
PROP_034,Commercial BHK Villa in Anna Nagar,Chennai,Anna Nagar,Villa,1.19,951,0,12513.14,Fully Furnished,Resale,2024-12-29,True
PROP_035,Commercial BHK Villa in Electronic City,Bangalore,Electronic City,Villa,2.23,1557,0,14322.41,Unfurnished,New Booking,2025-01-08,False
PROP_036,2 BHK Apartment in Madhapur,Hyderabad,Madhapur,Apartment,1.5,2450,2,6122.45,Unfurnished,New Booking,2024-11-27,True
PROP_037,Commercial BHK Commercial in Koramangala,Bangalore,Koramangala,Commercial,1.46,1158,0,12607.94,Unfurnished,New Booking,2024-12-19,True
PROP_038,Commercial BHK Villa in Worli,Mumbai,Worli,Villa,3.09,1817,0,17006.05,Semi Furnished,Resale,2025-10-05,False
PROP_039,Commercial BHK Commercial in Adyar,Chennai,Adyar,Commercial,0.99,1833,0,5400.98,Unfurnished,Resale,2025-03-13,True
PROP_040,2 BHK Apartment in Howrah,Kolkata,Howrah,Apartment,0.58,2441,2,2376.08,Unfurnished,New Booking,2025-10-09,True
PROP_041,Commercial BHK Plot in Rohini,Delhi,Rohini,Plot,2.71,2599,0,10427.09,Unfurnished,Resale,2025-08-04,True
PROP_042,Commercial BHK Plot in Saket,Delhi,Saket,Plot,3.33,2801,0,11888.61,Fully Furnished,New Booking,2025-10-03,True
PROP_043,Commercial BHK Commercial in Park Street,Kolkata,Park Street,Commercial,1.05,2793,0,3759.4,Unfurnished,New Booking,2025-07-10,True
PROP_044,Commercial BHK Commercial in Adyar,Chennai,Adyar,Commercial,0.64,2687,0,2381.84,Unfurnished,Resale,2025-05-06,True
PROP_045,Commercial BHK Villa in Worli,Mumbai,Worli,Villa,2.93,2565,0,11423.0,Fully Furnished,New Booking,2025-10-31,True
PROP_046,Commercial BHK Villa in Andheri,Mumbai,Andheri,Villa,3.86,2957,0,13053.77,Fully Furnished,Resale,2025-06-09,True
PROP_047,Commercial BHK Commercial in New Town,Kolkata,New Town,Commercial,0.99,1497,0,6613.23,Unfurnished,New Booking,2025-07-27,True
PROP_048,Commercial BHK Plot in Gachibowli,Hyderabad,Gachibowli,Plot,1.54,1767,0,8715.34,Semi Furnished,New Booking,2025-05-18,True
PROP_049,Commercial BHK Commercial in Kothrud,Pune,Kothrud,Commercial,1.5,1696,0,8844.34,Unfurnished,New Booking,2025-10-26,True
PROP_050,Commercial BHK Villa in Hitech City,Hyderabad,Hitech City,Villa,1.96,1814,0,10804.85,Semi Furnished,Resale,2025-05-10,True
PROP_051,Commercial BHK Plot in Dwarka,Delhi,Dwarka,Plot,3.5,894,0,39149.89,Unfurnished,New Booking,2025-01-29,True
PROP_052,2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,Apartment,1.45,2649,2,5473.76,Fully Furnished,Resale,2025-07-06,True
PROP_053,Commercial BHK Villa in Gachibowli,Hyderabad,Gachibowli,Villa,1.36,2817,0,4827.83,Unfurnished,Resale,2025-05-15,True
PROP_054,Commercial BHK Plot in New Town,Kolkata,New Town,Plot,1.15,1046,0,10994.26,Fully Furnished,New Booking,2025-01-16,True
PROP_055,Commercial BHK Villa in Gachibowli,Hyderabad,Gachibowli,Villa,0.73,2558,0,2853.79,Fully Furnished,New Booking,2025-07-14,True
PROP_056,Commercial BHK Commercial in Bandra,Mumbai,Bandra,Commercial,3.97,1223,0,32461.16,Unfurnished,New Booking,2024-12-28,True
PROP_057,Commercial BHK Commercial in Gachibowli,Hyderabad,Gachibowli,Commercial,1.82,1087,0,16743.33,Semi Furnished,New Booking,2025-04-11,True
PROP_058,Commercial BHK Villa in Park Street,Kolkata,Park Street,Villa,0.69,1426,0,4838.71,Semi Furnished,Resale,2025-07-12,True
PROP_059,Commercial BHK Villa in Hitech City,Hyderabad,Hitech City,Villa,2.0,2617,0,7642.34,Semi Furnished,Resale,2024-11-22,True
